sep=,
Thoi Gian,So chai hoan thanh,So thung hoan thanh,Luong nuoc da dung (ml)
2025-12-02 14:29:05,1,2,0
2025-12-02 14:29:10,1,2,0
2025-12-02 14:29:15,1,2,0
2025-12-02 14:29:20,1,2,0
2025-12-02 14:29:25,1,2,0
2025-12-02 14:29:30,1,2,0
2025-12-02 14:29:35,1,2,0
2025-12-02 14:29:40,1,2,0
2025-12-02 14:29:45,1,2,0
2025-12-02 14:29:50,1,2,0
2025-12-02 14:29:55,1,2,0
2025-12-02 14:30:00,1,2,0
2025-12-02 14:30:05,1,2,0
2025-12-02 14:30:10,1,2,0
2025-12-02 14:30:15,1,2,0
2025-12-02 14:30:20,1,2,0
2025-12-02 14:30:25,1,2,0
2025-12-02 14:30:30,1,2,0
2025-12-02 14:30:35,1,2,0
2025-12-02 14:30:40,1,2,0
2025-12-02 14:30:45,1,2,0
2025-12-02 14:30:50,1,2,0
2025-12-02 14:30:55,1,2,0
2025-12-02 14:31:00,1,2,0
2025-12-02 14:31:05,1,2,0
2025-12-02 14:31:10,1,2,0
2025-12-02 14:31:15,1,2,0
2025-12-02 14:31:20,1,2,0
2025-12-02 14:31:25,1,2,0
2025-12-02 14:31:30,1,2,0
2025-12-02 14:31:35,1,2,9.65
2025-12-02 14:31:40,1,2,9.65
2025-12-02 14:31:45,1,2,9.65
2025-12-02 14:31:50,1,2,9.65
2025-12-02 14:31:55,1,2,9.65
2025-12-02 14:32:00,1,2,9.65
2025-12-02 14:32:05,1,2,9.65
2025-12-02 14:32:10,1,2,9.65
2025-12-02 14:32:15,1,2,9.65
2025-12-02 14:32:20,1,2,9.65
2025-12-02 14:32:25,1,2,23.16
2025-12-02 14:32:30,1,2,106.15
2025-12-02 14:32:35,1,2,162.12
2025-12-02 14:32:40,1,2,0
2025-12-02 14:32:45,1,2,0
2025-12-02 14:32:50,1,2,0
2025-12-02 14:32:55,1,2,0
2025-12-02 14:33:00,2,2,0
2025-12-02 14:33:05,2,2,0
2025-12-02 14:33:10,2,2,0
2025-12-02 14:33:15,2,2,59.83
2025-12-02 14:33:20,2,2,150.54
2025-12-02 14:33:25,2,2,208.44
2025-12-02 14:33:30,2,2,0
2025-12-02 14:33:35,2,2,0
2025-12-02 14:33:40,2,2,0
2025-12-02 14:33:45,3,2,0
2025-12-02 14:33:50,3,2,0
2025-12-02 14:33:55,3,2,0
2025-12-02 14:34:00,3,2,57.9
2025-12-02 14:34:05,3,2,127.38
2025-12-02 14:34:10,3,2,225.81
2025-12-02 14:34:15,3,2,0
2025-12-02 14:34:20,3,2,0
2025-12-02 14:34:25,3,2,0
2025-12-02 14:34:30,4,2,0
2025-12-02 14:34:35,4,2,0
2025-12-02 14:34:40,4,2,0
2025-12-02 14:34:45,4,2,0
2025-12-02 14:34:50,4,2,0
2025-12-02 14:34:55,4,2,0
2025-12-02 14:35:00,4,2,0
2025-12-02 14:35:05,4,2,0
2025-12-02 14:35:10,4,2,0
2025-12-02 14:35:15,4,2,0
2025-12-02 14:35:20,4,2,0
2025-12-02 14:35:25,4,2,0
2025-12-02 14:35:30,4,2,0
2025-12-02 14:35:35,4,2,0
2025-12-02 14:35:40,4,2,0
2025-12-02 14:35:45,4,2,0
2025-12-02 14:35:50,4,2,0
2025-12-02 14:35:55,4,2,0
2025-12-02 14:36:00,4,2,0
2025-12-02 14:36:05,4,2,0
2025-12-02 14:36:10,4,2,0
2025-12-02 14:36:15,4,2,0
2025-12-02 14:36:20,4,2,0
2025-12-02 14:36:25,4,2,0
2025-12-02 14:36:30,4,2,0
2025-12-02 14:36:35,4,2,0
2025-12-02 14:36:40,4,2,0
2025-12-02 14:36:45,4,2,0
2025-12-02 14:36:50,4,2,0
2025-12-02 14:36:55,4,2,0
2025-12-02 14:37:00,4,2,0
2025-12-02 14:37:05,4,2,0
2025-12-02 14:37:10,4,2,0
2025-12-02 14:37:15,4,2,0
2025-12-02 14:55:50,4,2,0
